brand,model,year,km_driven,fuel_type,transmission,number_of_owners,location,selling_price
Renault,Scala,2013,155466,Diesel,Manual,First,Pune,0.74
Maruti Suzuki,Dzire,2021,58871,CNG,Automatic,First,Hyderabad,4.16
Maruti Suzuki,Vitara Brezza,2008,105672,Petrol,Manual,First,Delhi,1.35
Hyundai,Santro,2018,39607,Petrol,Automatic,First,Delhi,3.21
Hyundai,Elantra,2020,57055,Petrol,Manual,Second,Kolkata,3.59
Toyota,Corolla,2008,109509,Diesel,Manual,Second,Jaipur,1.26
Ford,EcoSport,2012,140467,Petrol,Automatic,Fourth & Above,Kolkata,0.72
Mahindra,XUV300,2017,132378,Diesel,Manual,Second,Ahmedabad,1.23
Maruti Suzuki,Baleno,2020,151362,Diesel,Manual,Second,Ahmedabad,2.25
Maruti Suzuki,Alto,2018,92687,CNG,Automatic,First,Kolkata,1.57
Honda,Jazz,2016,70078,Diesel,Manual,First,Ahmedabad,2.26
Hyundai,Creta,2023,139763,Petrol,Manual,Third,Ahmedabad,2.14
Mahindra,XUV700,2021,143542,Diesel,Manual,Second,Kolkata,2.64
Chevrolet,Spark,2015,139913,Diesel,Manual,Second,Kolkata,0.51
Toyota,Urban Cruiser,2010,107652,Petrol,Manual,First,Chennai,1.33
Ford,Endeavour,2022,68197,Diesel,Manual,Second,Mumbai,6.39
Tata,Nexon,2010,60773,LPG,Manual,Third,Jaipur,0.58
Ford,Endeavour,2022,153848,Petrol,Automatic,First,Delhi,4.32
Renault,Lodgy,2008,123943,Diesel,Manual,Second,Mumbai,0.79
Maruti Suzuki,Ciaz,2021,32584,CNG,Manual,First,Pune,3.72
Toyota,Innova,2010,140372,Diesel,Manual,First,Kolkata,1.55
Renault,Lodgy,2023,8338,Diesel,Automatic,Second,Mumbai,4.82
Mahindra,Scorpio,2022,67601,Petrol,Automatic,First,Hyderabad,4.36
Tata,Nexon,2021,141559,Petrol,Automatic,First,Hyderabad,2.19
Hyundai,i20,2019,41282,Diesel,Automatic,Second,Bangalore,4.08
Toyota,Urban Cruiser,2019,120447,Diesel,Manual,Second,Ahmedabad,2.64
Toyota,Innova,2019,100798,LPG,Manual,First,Pune,3.0
Maruti Suzuki,Baleno,2020,135963,Petrol,Manual,Third,Chennai,1.79
Nissan,GT-R,2018,113611,Diesel,Manual,First,Lucknow,5.16
Toyota,Yaris,2008,164876,Petrol,Manual,Fourth & Above,Lucknow,0.57
Honda,Accord,2015,145987,Petrol,Manual,Second,Lucknow,1.09
Tata,Tigor,2008,16158,Diesel,Manual,First,Bangalore,1.37
Tata,Harrier,2012,15547,Petrol,Automatic,First,Mumbai,1.86
Honda,City,2016,93713,Petrol,Manual,First,Delhi,2.09
Chevrolet,Cruze,2014,7459,Petrol,Manual,First,Delhi,1.75
Honda,WR-V,2011,164840,Petrol,Manual,Second,Kolkata,0.74
Honda,WR-V,2023,68146,Electric,Manual,First,Chennai,7.22
Tata,Hexa,2018,108577,CNG,Manual,First,Delhi,2.04
Ford,Mustang,2016,186942,Petrol,Manual,Second,Jaipur,1.13
Tata,Tiago,2016,112761,LPG,Manual,First,Hyderabad,0.87
Nissan,Kicks,2009,108727,Diesel,Manual,First,Ahmedabad,1.57
Maruti Suzuki,Ertiga,2017,55460,LPG,Manual,First,Ahmedabad,1.77
Renault,Duster,2017,87970,Petrol,Manual,Second,Delhi,1.27
Ford,Mustang,2018,196889,Diesel,Manual,Second,Kolkata,1.83
Hyundai,i20,2019,174319,LPG,Manual,Second,Bangalore,1.3
Renault,Fluence,2013,20419,Petrol,Manual,First,Lucknow,1.29
Maruti Suzuki,Ertiga,2011,40577,LPG,Automatic,First,Jaipur,1.13
Nissan,Micra,2015,7921,CNG,Manual,First,Jaipur,1.17
Nissan,Sunny,2019,140748,Electric,Automatic,First,Pune,2.71
Hyundai,Venue,2018,185756,Petrol,Automatic,First,Chennai,1.44
Ford,Aspire,2014,149535,Petrol,Automatic,First,Ahmedabad,1.03
Chevrolet,Tavera,2014,161546,Petrol,Automatic,First,Kolkata,0.82
Honda,Accord,2018,45935,Electric,Automatic,Second,Bangalore,6.63
Ford,Ikon,2017,130534,Petrol,Manual,First,Ahmedabad,1.18
Chevrolet,Tavera,2016,194668,Diesel,Manual,First,Pune,0.66
Nissan,Kicks,2020,77828,Diesel,Manual,Fourth & Above,Kolkata,2.12
Tata,Safari,2012,128649,Petrol,Manual,First,Mumbai,1.31
Maruti Suzuki,Vitara Brezza,2013,94062,Petrol,Manual,First,Bangalore,1.28
Hyundai,Elantra,2008,60152,Diesel,Manual,Fourth & Above,Hyderabad,1.21
Maruti Suzuki,Baleno,2013,101491,CNG,Automatic,Fourth & Above,Bangalore,0.82
Mahindra,XUV700,2009,91569,Petrol,Manual,First,Mumbai,1.68
Mahindra,KUV100,2013,77467,LPG,Manual,Second,Ahmedabad,0.75
Ford,Endeavour,2016,188648,Diesel,Manual,First,Hyderabad,1.01
Nissan,GT-R,2015,161844,Diesel,Manual,Second,Kolkata,2.15
Nissan,Kicks,2016,152435,Diesel,Manual,Third,Lucknow,0.84
Honda,WR-V,2020,164562,Petrol,Manual,First,Kolkata,2.15
Honda,Civic,2022,195076,Diesel,Manual,Second,Pune,2.66
Honda,BR-V,2017,127537,CNG,Manual,Second,Hyderabad,1.69
Tata,Safari,2015,58806,Petrol,Manual,First,Bangalore,1.64
Renault,Lodgy,2010,136332,Diesel,Manual,Second,Chennai,0.7
Toyota,Camry,2015,80992,Petrol,Manual,First,Mumbai,3.22
Renault,Lodgy,2023,27320,Diesel,Manual,First,Hyderabad,3.93
Maruti Suzuki,Vitara Brezza,2013,83971,Diesel,Manual,Fourth & Above,Lucknow,0.78
Renault,Pulse,2020,178217,Diesel,Manual,First,Delhi,1.07
Tata,Punch,2013,199760,Petrol,Manual,First,Hyderabad,0.5
Maruti Suzuki,Ciaz,2013,53581,Electric,Manual,Second,Pune,2.0
Renault,Fluence,2010,98645,Petrol,Manual,Fourth & Above,Chennai,0.64
Tata,Tigor,2017,25754,Diesel,Automatic,Third,Delhi,1.61
Toyota,Urban Cruiser,2008,74837,Diesel,Manual,First,Hyderabad,1.65
Renault,Duster,2019,143279,CNG,Automatic,First,Hyderabad,2.01
Tata,Hexa,2021,163992,Petrol,Manual,First,Kolkata,1.73
Honda,City,2011,128746,CNG,Manual,First,Jaipur,1.0
Nissan,Sunny,2017,119780,Petrol,Automatic,Third,Bangalore,1.24
Honda,WR-V,2019,92081,Diesel,Automatic,Second,Jaipur,2.69
Nissan,Micra,2013,29016,Diesel,Automatic,First,Kolkata,1.6
Hyundai,i20,2018,65522,CNG,Manual,First,Delhi,2.55
Hyundai,Tucson,2019,125896,Diesel,Manual,Third,Jaipur,1.85
Hyundai,Verna,2017,190140,LPG,Automatic,Second,Mumbai,1.07
Toyota,Glanza,2009,117099,Petrol,Manual,First,Mumbai,1.47
Honda,BR-V,2014,156174,LPG,Automatic,Second,Hyderabad,0.85
Nissan,Sunny,2014,109429,Petrol,Manual,First,Bangalore,1.1
Tata,Tiago,2018,6924,Diesel,Automatic,Second,Ahmedabad,2.44
Maruti Suzuki,Ciaz,2011,90015,Diesel,Automatic,Second,Hyderabad,1.18
Tata,Tiago,2011,109987,Diesel,Manual,Second,Hyderabad,0.8
Maruti Suzuki,Dzire,2022,59333,Petrol,Manual,First,Mumbai,4.14
Mahindra,XUV300,2008,182171,Diesel,Manual,First,Mumbai,0.78
Tata,Altroz,2020,193418,Petrol,Manual,First,Delhi,1.28
Renault,Triber,2009,131372,Petrol,Manual,Third,Delhi,0.6
Renault,Captur,2016,186134,Petrol,Manual,Third,Kolkata,0.5
Ford,Mustang,2017,136378,Diesel,Automatic,Second,Jaipur,2.85
Honda,Accord,2015,93495,Petrol,Automatic,Third,Hyderabad,1.75
Maruti Suzuki,Ertiga,2015,74767,Petrol,Manual,Second,Delhi,1.07
Maruti Suzuki,Vitara Brezza,2016,109332,Petrol,Manual,First,Kolkata,1.2
Honda,Civic,2023,148279,Petrol,Automatic,Second,Kolkata,3.16
Toyota,Yaris,2022,44426,CNG,Automatic,First,Ahmedabad,6.04
Ford,Ikon,2014,11336,LPG,Automatic,First,Jaipur,0.95
Toyota,Innova,2020,117200,Petrol,Manual,First,Ahmedabad,4.01
Toyota,Camry,2016,22256,Diesel,Automatic,First,Delhi,5.62
Toyota,Glanza,2017,185889,Diesel,Manual,Second,Chennai,1.27
Honda,Civic,2019,38719,Diesel,Automatic,First,Delhi,6.77
Toyota,Camry,2009,47017,Diesel,Automatic,First,Pune,4.25
Renault,Scala,2013,50704,Petrol,Automatic,Second,Chennai,0.96
Hyundai,Tucson,2022,35013,Diesel,Manual,Second,Hyderabad,5.72
Mahindra,XUV700,2010,84991,Petrol,Automatic,First,Delhi,1.81
Maruti Suzuki,Ertiga,2018,75258,Petrol,Manual,First,Jaipur,1.94
Maruti Suzuki,Wagon R,2022,83348,Diesel,Manual,First,Kolkata,2.67
Mahindra,XUV500,2013,172848,Diesel,Automatic,Second,Mumbai,0.99
Honda,City,2010,15060,Petrol,Manual,Second,Bangalore,1.84
Tata,Safari,2015,142727,Diesel,Manual,First,Chennai,1.27
Honda,Accord,2022,54923,CNG,Automatic,Fourth & Above,Bangalore,4.65
Maruti Suzuki,Wagon R,2018,83563,CNG,Automatic,First,Pune,1.92
Maruti Suzuki,Baleno,2022,140102,Diesel,Automatic,First,Pune,4.2
Mahindra,Thar,2020,94779,Diesel,Manual,First,Lucknow,3.35
Toyota,Camry,2011,169361,Diesel,Automatic,First,Hyderabad,1.87
Honda,Jazz,2019,155811,Petrol,Manual,Fourth & Above,Jaipur,1.21
Nissan,Micra,2017,104704,Petrol,Automatic,First,Lucknow,1.04
Mahindra,Marazzo,2013,134157,Petrol,Manual,First,Jaipur,0.66
Renault,Triber,2022,115234,Diesel,Automatic,First,Hyderabad,3.13
Maruti Suzuki,Ciaz,2016,66687,Diesel,Manual,First,Mumbai,2.12
Mahindra,Bolero,2009,41491,LPG,Automatic,First,Bangalore,1.4
Honda,Civic,2009,77115,CNG,Manual,First,Kolkata,1.6
Maruti Suzuki,Ertiga,2014,122935,Petrol,Manual,First,Lucknow,0.74
Tata,Tiago,2022,88778,Petrol,Manual,First,Pune,2.12
Mahindra,XUV500,2009,140853,Petrol,Automatic,Second,Pune,0.88
Ford,Freestyle,2009,25448,Diesel,Manual,Second,Kolkata,1.58
Maruti Suzuki,Ertiga,2011,56550,Diesel,Manual,First,Pune,1.65
Honda,Jazz,2016,54294,Electric,Manual,First,Jaipur,2.66
Hyundai,Creta,2015,26446,Diesel,Automatic,Third,Mumbai,2.12
Nissan,Micra,2009,81579,CNG,Manual,First,Mumbai,1.24
Chevrolet,Cruze,2015,119679,Diesel,Manual,First,Jaipur,1.03
Toyota,Corolla,2011,90615,LPG,Manual,Second,Ahmedabad,1.44
Chevrolet,Aveo,2009,22101,Diesel,Automatic,Second,Jaipur,1.2
Honda,Civic,2018,33016,Diesel,Manual,First,Hyderabad,4.69
Renault,Scala,2017,155004,Diesel,Automatic,First,Lucknow,1.02
Renault,Triber,2014,180725,Diesel,Automatic,First,Pune,0.64
Hyundai,Santro,2013,95481,Diesel,Manual,Second,Jaipur,0.88
Toyota,Camry,2021,57802,Petrol,Manual,First,Delhi,7.72
Ford,Figo,2017,12549,Petrol,Automatic,First,Chennai,2.83
Hyundai,Venue,2012,161434,Diesel,Automatic,First,Delhi,1.35
Chevrolet,Cruze,2018,52842,Diesel,Automatic,First,Pune,2.69
Hyundai,Elantra,2008,51539,Petrol,Manual,First,Mumbai,2.46
Chevrolet,Beat,2009,38717,Petrol,Manual,First,Hyderabad,1.11
Maruti Suzuki,Dzire,2015,190668,Petrol,Manual,First,Hyderabad,0.53
Renault,Pulse,2008,159088,Diesel,Manual,Second,Hyderabad,0.52
Maruti Suzuki,Ertiga,2010,191272,Petrol,Manual,First,Chennai,0.54
Nissan,Magnite,2009,196359,Petrol,Manual,Second,Ahmedabad,0.5
Toyota,Glanza,2012,120042,Petrol,Manual,First,Kolkata,1.33
Ford,Mustang,2011,132922,Petrol,Manual,Third,Delhi,1.48
Chevrolet,Spark,2020,97447,CNG,Manual,Fourth & Above,Kolkata,0.89
Ford,Freestyle,2014,88402,Petrol,Manual,First,Lucknow,1.04
Chevrolet,Tavera,2012,47607,Diesel,Automatic,Fourth & Above,Jaipur,0.87
Honda,WR-V,2015,163693,Diesel,Manual,First,Lucknow,0.93
Hyundai,Verna,2011,17823,Electric,Manual,Second,Mumbai,2.86
Nissan,Magnite,2022,34986,Petrol,Manual,First,Delhi,5.1
Renault,Triber,2019,126682,Petrol,Manual,First,Lucknow,1.19
Chevrolet,Captiva,2013,69325,Petrol,Manual,First,Ahmedabad,1.11
Ford,EcoSport,2011,132925,Petrol,Manual,First,Kolkata,0.97
Nissan,Micra,2009,62771,Diesel,Manual,Second,Jaipur,1.12
Tata,Tigor,2008,59973,Petrol,Automatic,First,Pune,1.45
Tata,Punch,2021,150762,Petrol,Manual,First,Ahmedabad,1.77
Maruti Suzuki,Ciaz,2021,44107,LPG,Manual,Fourth & Above,Mumbai,2.78
Renault,Captur,2008,62888,Diesel,Automatic,Third,Jaipur,0.88
Honda,Accord,2015,15956,Petrol,Manual,Fourth & Above,Jaipur,1.71
Ford,Fiesta,2021,91839,Petrol,Automatic,Third,Bangalore,3.16
Hyundai,Tucson,2011,192299,Petrol,Manual,First,Mumbai,1.07
Hyundai,Santro,2012,172605,LPG,Manual,First,Ahmedabad,0.5
Ford,Figo,2018,192306,CNG,Manual,First,Ahmedabad,0.89
Toyota,Camry,2015,106131,CNG,Automatic,Fourth & Above,Jaipur,1.7
Honda,Civic,2019,72594,LPG,Manual,First,Pune,3.21
Nissan,Kicks,2022,192973,Diesel,Manual,First,Jaipur,1.74
Chevrolet,Enjoy,2014,16519,Petrol,Manual,First,Lucknow,0.91
Toyota,Etios,2020,167187,Diesel,Manual,First,Jaipur,1.96
Chevrolet,Trailblazer,2023,6832,Diesel,Automatic,First,Chennai,6.88
Chevrolet,Aveo,2015,177440,LPG,Manual,Second,Kolkata,0.5
Toyota,Etios,2020,118922,Diesel,Automatic,First,Pune,3.18
Maruti Suzuki,Swift,2015,110474,Diesel,Manual,First,Pune,1.31
Tata,Punch,2013,74715,LPG,Automatic,Second,Lucknow,0.82
Chevrolet,Spark,2017,76835,Petrol,Manual,Second,Delhi,1.01
Toyota,Camry,2009,78366,LPG,Automatic,First,Chennai,2.86
Toyota,Glanza,2023,42570,Petrol,Manual,Third,Jaipur,3.54
Mahindra,XUV500,2013,142687,Diesel,Automatic,Second,Hyderabad,1.13
